step,klcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,collisions_human,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,global_reward_mean,reward_mean,value_mean,ret_mean,adv_mean,explained_variance,rollout_end_time,policy_loss,kl,entropy,value_loss,gd_time,total_time
51,8.88178e-17,0.001,16.3468,2000,2.47319,2.44238,3.18374,2.50472,579.188,524.312,2085.07,1887.53,28.875,14.0625,1.44276e+06,82.3965,127.606,700,700,0.189969,0.00609348,0.374656,0.46751,0.0928404,0.0575025,0.0424086,-0.0868313,7.5076e-11,0.578082,2.16978,0.352745,13645.5
52,4.44089e-17,0.001,16.9572,2000,2.55328,2.52263,3.23844,2.58471,595.5,538.812,2143.8,1939.72,28.3125,14.875,1.39016e+06,72.5355,117.39,700,700,0.198625,0.00735896,0.374379,0.549408,0.175028,0.061236,0.0445083,-0.170463,2.03928e-10,0.548868,2.02042,0.337268,13918.8
53,2.22045e-17,0.001,16.8686,2000,2.6278,2.59571,3.27345,2.66054,612.812,551.312,2206.12,1984.72,34.625,16.9375,1.39183e+06,70.1817,114.863,700,700,0.189094,0.00593,0.36229,0.482457,0.120174,0.0540669,0.0446623,-0.119096,-1.61034e-09,0.529454,2.45404,0.342924,14190.7
54,1.11022e-17,0.001,17.6462,2000,2.40679,2.37362,3.17059,2.44067,567.375,511.688,2042.55,1842.07,29,13.3125,1.44768e+06,84.5071,129.911,700,700,0.183344,0.00472345,0.343441,0.344219,0.000767037,0.0589864,0.0433131,0.0115419,2.28566e-10,0.516046,2.37477,0.361948,14475
55,5.55112e-18,0.001,16.933,2000,2.70148,2.67008,3.31181,2.73358,624.375,567.25,2247.75,2042.1,30.4375,14.5625,1.39087e+06,65.2731,109.746,700,700,0.207531,0.00791872,0.35448,0.586262,0.231779,0.0582201,0.0520676,-0.231068,1.19994e-10,0.504634,2.18837,0.25737,14748
56,2.77556e-18,0.001,16.2009,2000,2.57825,2.55233,3.26751,2.60474,604.375,547.625,2175.75,1971.45,28.4375,14.75,1.3671e+06,73.0163,118.033,700,700,0.202719,0.00721469,0.345795,0.544294,0.198489,0.0680369,0.0530911,-0.197277,4.991e-11,0.503551,1.99026,0.417626,15009.3
57,1.38778e-18,0.001,15.8423,2000,2.41785,2.39382,3.15159,2.44234,566.875,511.125,2040.75,1840.05,27.4375,13.75,1.41264e+06,88.7181,134.075,700,700,0.186969,0.00521624,0.337134,0.376751,0.0396229,0.0634004,0.0534837,-0.0206018,-9.35059e-10,0.506744,2.15451,0.47071,15264.9
58,6.93889e-19,0.001,16.0648,2000,2.3137,2.2871,3.09936,2.34086,550.5,496.375,1981.8,1786.95,26.9375,13.125,1.43251e+06,91.4501,137.382,700,700,0.180844,0.00405574,0.351306,0.279384,-0.0719246,0.0635155,0.0541795,0.0922774,2.36425e-10,0.488815,2.27128,0.569637,15524.2
59,3.46945e-19,0.001,15.7574,2000,2.51403,2.49385,3.25584,2.53465,587.312,529.5,2114.32,1906.2,29.875,16.25,1.41572e+06,74.7362,119.669,700,700,0.190062,0.00574643,0.340294,0.448548,0.108232,0.075618,0.0501141,-0.102079,-2.26316e-10,0.509666,1.95248,0.2688,15778.2
60,1.73472e-19,0.001,15.473,2000,2.60346,2.57788,3.28474,2.62958,605.812,549.5,2180.92,1978.2,29.125,15.0625,1.4031e+06,72.7327,117.49,700,700,0.201937,0.00680345,0.349635,0.540013,0.190367,0.0675207,0.05035,-0.1895,9.40159e-11,0.503899,1.94108,0.524504,16027.9
61,8.67362e-20,0.001,15.617,2000,2.55509,2.527,3.25783,2.5838,600.188,538.688,2160.68,1939.28,33.125,16.8125,1.39137e+06,72.7208,117.637,700,700,0.186531,0.00478793,0.353467,0.400081,0.0466071,0.0693327,0.0515962,-0.0451413,-3.87227e-10,0.499209,2.16301,0.237488,16279.6
62,4.33681e-20,0.001,15.7018,2000,2.53822,2.50842,3.22812,2.56866,593,533.5,2134.8,1920.6,32.8125,16,1.42775e+06,74.7184,119.721,700,700,0.184719,0.00439119,0.35292,0.362902,0.00998038,0.0647461,0.0390871,-0.00198754,3.31144e-10,0.497475,2.28112,0.484283,16532.7
63,2.1684e-20,0.001,15.8378,2000,2.46158,2.43321,3.14353,2.49058,578.75,520.875,2083.5,1875.15,31.0625,15.6875,1.42073e+06,87.6325,133.113,700,700,0.182781,0.00412136,0.354284,0.337944,-0.0163424,0.0573143,0.0563942,0.0358634,-1.88214e-09,0.491471,2.21599,0.450176,16788.3
