step,klcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,collisions_human,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,raw_reward_mean,raw_reward_sum,reward_mean,reward_sum,n_veh_step_mean,n_veh_step_sum,n_veh_unique,policy_loss,kl,entropy,gd_time,total_time
55,0,0.001,13.8124,2000,2.44584,2.36645,3.10028,2.53055,502.75,464.312,1809.9,1671.53,17.25,8.875,1.54969e+06,124.862,165.295,700,700,0.189031,378.062,0.00859776,17.1955,20.8468,41693.7,260.938,-0.75038,-3.30674e-11,0.872197,0.573934,13031.8
56,0,0.001,12.2366,2000,2.51631,2.43675,3.1871,2.6015,517.5,481.062,1863,1731.83,14.625,8.6875,1.50505e+06,117.766,157.737,700,700,0.203969,407.938,0.0106839,21.3679,20.6615,41322.9,268.625,-0.997163,-5.14417e-11,0.879623,0.562943,13247.9
57,0,0.001,13.7814,2000,2.50473,2.42179,3.18656,2.59369,508,472.5,1828.8,1701,13.6875,7.9375,1.52825e+06,124.705,164.135,700,700,0.202031,404.062,0.0102401,20.4803,20.398,40796,263.625,-0.969229,-5.42791e-12,0.887574,0.442825,13469.8
58,0,0.001,13.5422,2000,2.46795,2.3829,3.17423,2.5594,500.75,464.688,1802.7,1672.88,14.875,8.625,1.52345e+06,126.589,166.002,700,700,0.195156,390.312,0.00906794,18.1359,20.4118,40823.6,260.188,-0.847656,-1.16373e-10,0.890651,0.572945,13687.9
59,0,0.001,14.0833,2000,2.43964,2.35463,3.1636,2.53096,494.875,460.938,1781.55,1659.38,14.3125,7.875,1.59183e+06,131.068,170.536,700,700,0.194688,389.375,0.0088729,17.7458,20.4352,40870.4,257.125,-0.830471,-7.60038e-10,0.893427,0.459539,13904.7
60,0,0.001,13.6997,2000,2.46898,2.38147,3.18362,2.56338,494.75,458.938,1781.1,1652.18,13.125,7.875,1.47139e+06,129.686,168.548,700,700,0.196656,393.312,0.00905512,18.1102,20.1568,40313.5,256.75,-0.837886,-1.63292e-10,0.893286,0.403284,14125.3
61,0,0.001,13.1153,2000,2.46856,2.3761,3.1817,2.5682,493.062,460.875,1775.03,1659.15,12.5,6.3125,1.53963e+06,132.21,171.095,700,700,0.199188,398.375,0.00933081,18.6616,20.1609,40321.8,256.812,-0.85165,-9.36028e-10,0.89483,0.451473,14336.5
62,0,0.001,13.2902,2000,2.41787,2.33048,3.16598,2.51211,484.562,450.938,1744.43,1623.38,12.75,7.375,1.50695e+06,133.287,172.203,700,700,0.193594,387.188,0.00836258,16.7252,20.1841,40368.2,252.312,-0.743074,4.8523e-10,0.898893,0.522834,14552.7
63,0,0.001,13.5526,2000,2.44349,2.35175,3.1797,2.54241,489.562,456.562,1762.43,1643.62,11.5,6,1.52915e+06,131.705,170.629,700,700,0.199531,399.062,0.00916627,18.3325,20.1859,40371.8,254.188,-0.864432,-1.45771e-10,0.896392,0.426513,14770.4
64,0,0.001,13.6957,2000,2.44595,2.35576,3.17222,2.5432,487.75,455.562,1755.9,1640.03,12.8125,7.0625,1.57594e+06,133.585,172.444,700,700,0.19575,391.5,0.00848051,16.961,20.1551,40310.2,253.188,-0.794349,-3.56025e-10,0.895653,0.0523207,14990.5
65,0,0.001,13.7194,2000,2.44665,2.36057,3.1807,2.53951,489.625,455.5,1762.65,1639.8,13.5,8,1.53038e+06,132.928,171.796,700,700,0.194,388,0.00811053,16.2211,20.1633,40326.6,254.75,-0.765869,-2.42369e-10,0.893013,0.535292,15211.5
66,0,0.001,13.4774,2000,2.50364,2.41618,3.20712,2.59802,498.062,464.812,1793.03,1673.32,13.6875,8.375,1.55103e+06,128.821,167.56,700,700,0.198188,396.375,0.00866345,17.3269,20.0993,40198.6,258.625,-0.80857,-1.13965e-09,0.88804,0.530352,15428.6
67,0,0.001,13.052,2000,2.54247,2.44966,3.22713,2.64239,504.438,470.625,1815.97,1694.25,14.1875,7.625,1.56442e+06,125.768,164.406,700,700,0.199844,399.688,0.00881454,17.6291,20.0255,40051,262.062,-0.8312,2.89072e-10,0.883552,0.549275,15648.2
68,0,0.001,13.7683,2000,2.49805,2.40979,3.20536,2.59307,500.688,467.312,1802.47,1682.33,13.625,7.9375,1.55425e+06,127.945,166.989,700,700,0.199594,399.188,0.00867052,17.341,20.2369,40473.9,260.188,-0.83809,-2.14345e-10,0.883859,0.43967,15869.9
69,0,0.001,13.6306,2000,2.38792,2.30965,3.13807,2.47196,488.062,452.312,1757.03,1628.33,14.3125,8.75,1.50534e+06,131.269,171.177,700,700,0.190375,380.75,0.00712227,14.2445,20.6581,41316.2,254.25,-0.652243,-2.41418e-10,0.879633,0.444928,16089.3
