step,klcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,collisions_human,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,raw_reward_mean,raw_reward_sum,reward_mean,reward_sum,n_veh_step_mean,n_veh_step_sum,n_veh_unique,policy_loss,kl,entropy,gd_time,total_time
64,0,0.001,10.7921,2000,3.27083,3.10251,3.50234,3.45811,499,471.375,1796.4,1696.95,17.4375,9.4375,1.67831e+06,131.949,162.039,700,700,0.192094,384.188,0.00246869,4.93737,15.8391,31678.1,259.125,-0.220757,1.59559e-09,0.820013,0.416059,12199.9
65,0,0.001,11.2552,2000,3.00288,2.8673,3.38054,3.152,487.375,457.875,1754.55,1648.35,16.875,9.25,1.63211e+06,136.144,168.713,700,700,0.18675,373.5,0.00155196,3.10392,17.0029,34005.8,254.062,-0.0550304,1.63571e-09,0.828383,0.462355,12381.2
66,0,0.001,11.404,2000,3.04393,2.92007,3.37564,3.17901,507.188,474.438,1825.88,1707.97,16.75,9.5625,1.60662e+06,123.526,157.067,700,700,0.195344,390.688,0.00293147,5.86294,17.4787,34957.4,262.812,-0.149437,5.48477e-10,0.809228,0.453264,12564.9
67,0,0.001,10.9359,2000,3.27988,3.13727,3.48954,3.43591,530.375,498.125,1909.35,1793.25,18.3125,10.0625,1.5624e+06,117.478,149.301,700,700,0.203281,406.562,0.00419873,8.39746,16.6201,33240.2,274.938,-0.39322,2.39738e-10,0.791607,0.428998,12741
68,0,0.001,11.1295,2000,3.14998,3.01416,3.46784,3.29875,514.562,482.438,1852.42,1736.78,17.875,10,1.52979e+06,123.998,156.037,700,700,0.196531,393.062,0.00303158,6.06316,16.7386,33477.2,267.312,-0.281239,-3.34715e-10,0.807793,0.384613,12920.2
69,0,0.001,10.9867,2000,3.18623,3.04689,3.49379,3.33883,510.812,484.25,1838.93,1743.3,14.875,8,1.68848e+06,121.885,153.762,700,700,0.204937,409.875,0.00437735,8.7547,16.638,33276.1,265.375,-0.353962,-4.56136e-10,0.806566,0.435152,13097.1
70,0,0.001,10.7138,2000,3.45173,3.2825,3.55943,3.63947,520.438,492.688,1873.58,1773.68,16.875,9.6875,1.64501e+06,121.131,150.933,700,700,0.204156,408.312,0.0041797,8.35939,15.6657,31331.5,270,-0.394203,-2.25629e-10,0.80694,0.413652,13269.7
71,0,0.001,10.8767,2000,3.40592,3.23971,3.54735,3.59036,513.625,488.75,1849.05,1759.5,15.75,9.1875,1.73061e+06,124.905,154.802,700,700,0.205,410,0.00427092,8.54185,15.7145,31429.1,266.875,-0.396532,1.72212e-10,0.815416,0.363906,13444.7
72,0,0.001,10.9286,2000,3.4287,3.27809,3.55984,3.59392,531.062,503.562,1911.83,1812.83,16.375,9.125,1.61841e+06,117.107,147.799,700,700,0.210844,421.688,0.00518164,10.3633,16.0451,32090.1,275.75,-0.494151,-9.48637e-11,0.810055,-2.50576,13617.8
73,0,0.001,11.0958,2000,3.36087,3.22631,3.54945,3.50736,546,510.938,1965.6,1839.38,22.5,12.5,1.62319e+06,108.059,139.959,700,700,0.199219,398.438,0.00319005,6.3801,16.6175,33235.1,283.125,-0.291581,-2.32811e-11,0.810951,0.37273,13796.4
74,0,0.001,11.1045,2000,3.33824,3.19814,3.54057,3.49107,537.062,503.625,1933.43,1813.05,19,9.8125,1.52925e+06,112.809,144.448,700,700,0.204313,408.625,0.00399092,7.98185,16.4996,32999.1,278.25,-0.353166,-3.73153e-11,0.820884,0.33856,13975.1
75,0,0.001,11.0938,2000,3.36582,3.22829,3.54847,3.51577,540.375,505.75,1945.35,1820.7,20.625,11.25,1.57627e+06,111.22,142.808,700,700,0.201313,402.625,0.00344613,6.89225,16.4627,32925.4,279.438,-0.281346,-3.68815e-10,0.815366,0.427984,14153.8
76,0,0.001,11.3947,2000,3.14711,3.0347,3.4903,3.26799,545.375,509.438,1963.35,1833.97,18.875,10.0625,1.54034e+06,106.028,140.107,700,700,0.207531,415.062,0.0044307,8.86141,17.6551,35310.1,282.562,-0.393791,-1.73698e-12,0.805905,0.412083,14337.3
77,0,0.001,11.8527,2000,2.95573,2.87359,3.4225,3.04253,558.438,513.188,2010.38,1847.47,25.5,13,1.51129e+06,97.0278,133.833,700,700,0.192844,385.688,0.0019336,3.8672,18.8938,37787.7,289.062,-0.111166,1.15047e-09,0.789452,0.439492,14528.1
78,0,0.001,11.6878,2000,3.17093,3.06903,3.51615,3.2795,569.438,528.688,2049.97,1903.28,22.625,11.4375,1.55294e+06,93.8677,128.907,700,700,0.207781,415.562,0.00437207,8.74415,18.0684,36136.8,293.938,-0.374616,1.03049e-10,0.794276,0.421941,14716.3
79,0,0.001,11.9391,2000,2.90385,2.82743,3.40196,2.9845,569.562,526.812,2050.43,1896.53,22.125,11.875,1.48097e+06,95.0328,133.237,700,700,0.208094,416.188,0.00436248,8.72497,19.604,39208,294.375,-0.403066,1.64377e-09,0.793682,0.446955,14908.5
80,0,0.001,11.4392,2000,3.03239,2.9147,3.46431,3.16,520.688,486.812,1874.47,1752.53,15.9375,8.6875,1.51706e+06,116.499,150.294,700,700,0.203563,407.125,0.00355869,7.11738,17.5576,35115.1,270.25,-0.298987,-5.48141e-10,0.81662,0.41519,15092.7
81,0,0.001,11.7191,2000,3.03127,2.93096,3.4623,3.13901,547,511.875,1969.2,1842.75,18.25,10.5625,1.5712e+06,108.119,143.501,700,700,0.210313,420.625,0.00462785,9.25569,18.3117,36623.4,282.75,-0.429307,-2.29072e-10,0.812724,0.444466,15281.4
82,0,0.001,11.3139,2000,3.01226,2.88158,3.47057,3.15509,507.562,477.25,1827.22,1718.1,14.5625,8.0625,1.55836e+06,125.45,158.502,700,700,0.202219,404.438,0.00324931,6.49863,17.2523,34504.5,262.938,-0.296414,2.52462e-10,0.826912,0.407481,15463.5
83,0,0.001,11.0574,2000,3.01425,2.87525,3.48177,3.16737,491.5,464.188,1769.4,1671.07,13.6875,7.9375,1.58753e+06,135.536,167.647,700,700,0.197875,395.75,0.0024898,4.97961,16.8226,33645.2,255.625,-0.238275,2.74688e-12,0.822792,0.394909,15641.5
